id,title,body_file,phase,area,mode,priority,optional,dependencies,labels
BWASM-EPIC,[BWASM-EPIC] BWASM-EPIC — Velqu Browser-WASM runtime program,docs/codex-spark-browser-wasm/tasks/00_program/BWASM-EPIC-velqu-browser-wasm-runtime-program.md,00_program,wasm,GATE,P0,false,,milestone:browser-wasm;mode:gate;p0;spark-gate;area:wasm;enhancement
BWASM-D-001,[BWASM-D-001] BWASM-D-001 — Freeze the Browser-WASM product and runtime contract,docs/codex-spark-browser-wasm/tasks/01_design/BWASM-D-001-freeze-the-browser-wasm-product-and-runtime-contract.md,01_design,wasm,IMPLEMENT,P0,false,,milestone:browser-wasm;mode:implement;p0;spark-task;area:wasm;enhancement
BWASM-D-002,[BWASM-D-002] BWASM-D-002 — Produce the wasm32 portability baseline and dependency split map,docs/codex-spark-browser-wasm/tasks/01_design/BWASM-D-002-produce-the-wasm32-portability-baseline-and-dependency-split-map.md,01_design,wasm,VERIFY_OR_FIX,P0,false,BWASM-D-001,milestone:browser-wasm;mode:verify_or_fix;p0;spark-task;area:wasm
BWASM-D-003,[BWASM-D-003] BWASM-D-003 — Define the browser execution threat model and isolation contract,docs/codex-spark-browser-wasm/tasks/01_design/BWASM-D-003-define-the-browser-execution-threat-model-and-isolation-contract.md,01_design,security,IMPLEMENT,P0,false,BWASM-D-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:security;enhancement
BWASM-D-004,"[BWASM-D-004] BWASM-D-004 — Ratify support matrix, compatibility claims, and release budgets",docs/codex-spark-browser-wasm/tasks/01_design/BWASM-D-004-ratify-support-matrix-compatibility-claims-and-release-budgets.md,01_design,quality,IMPLEMENT,P0,false,BWASM-D-001;BWASM-D-002;BWASM-D-003,milestone:browser-wasm;mode:implement;p0;spark-task;area:quality
BWASM-K-001,[BWASM-K-001] BWASM-K-001 — Extract a portable runtime model crate,docs/codex-spark-browser-wasm/tasks/02_kernel/BWASM-K-001-extract-a-portable-runtime-model-crate.md,02_kernel,wasm,IMPLEMENT,P0,false,BWASM-D-001;BWASM-D-002,milestone:browser-wasm;mode:implement;p0;spark-task;area:wasm
BWASM-K-002,[BWASM-K-002] BWASM-K-002 — Split byte-based QPack core from native loading and tooling,docs/codex-spark-browser-wasm/tasks/02_kernel/BWASM-K-002-split-byte-based-qpack-core-from-native-loading-and-tooling.md,02_kernel,wasm,IMPLEMENT,P0,false,BWASM-K-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:wasm
BWASM-K-003,[BWASM-K-003] BWASM-K-003 — Extract a host-independent router core,docs/codex-spark-browser-wasm/tasks/02_kernel/BWASM-K-003-extract-a-host-independent-router-core.md,02_kernel,wasm,IMPLEMENT,P0,false,BWASM-K-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:wasm
BWASM-K-004,[BWASM-K-004] BWASM-K-004 — Qualify the schema runtime for wasm32 and expose bounded validation,docs/codex-spark-browser-wasm/tasks/02_kernel/BWASM-K-004-qualify-the-schema-runtime-for-wasm32-and-expose-bounded-validation.md,02_kernel,wasm,IMPLEMENT,P0,false,BWASM-D-002,milestone:browser-wasm;mode:implement;p0;spark-task;area:wasm
BWASM-K-005,[BWASM-K-005] BWASM-K-005 — Implement the Rust Browser Kernel and wasm-bindgen ABI,docs/codex-spark-browser-wasm/tasks/02_kernel/BWASM-K-005-implement-the-rust-browser-kernel-and-wasm-bindgen-abi.md,02_kernel,wasm,IMPLEMENT,P0,false,BWASM-K-002;BWASM-K-003;BWASM-K-004;BWASM-D-003,milestone:browser-wasm;mode:implement;p0;spark-task;area:wasm
BWASM-K-006,[BWASM-K-006] BWASM-K-006 — Verify and package portable-kernel evidence,docs/codex-spark-browser-wasm/tasks/02_kernel/BWASM-K-006-verify-and-package-portable-kernel-evidence.md,02_kernel,quality,EVIDENCE,P0,false,BWASM-K-001;BWASM-K-002;BWASM-K-003;BWASM-K-004;BWASM-K-005;BWASM-D-004,milestone:browser-wasm;mode:evidence;p0;spark-task;area:quality
BWASM-R-001,[BWASM-R-001] BWASM-R-001 — Create @velqu/browser-runtime package and public runtime contract,docs/codex-spark-browser-wasm/tasks/03_runtime/BWASM-R-001-create-velqu-browser-runtime-package-and-public-runtime-contract.md,03_runtime,browser-runtime,IMPLEMENT,P0,false,BWASM-K-005;BWASM-D-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:browser-runtime
BWASM-R-002,[BWASM-R-002] BWASM-R-002 — Implement Fetch-compatible browser dispatcher,docs/codex-spark-browser-wasm/tasks/03_runtime/BWASM-R-002-implement-fetch-compatible-browser-dispatcher.md,03_runtime,browser-runtime,IMPLEMENT,P0,false,BWASM-R-001;BWASM-K-005,milestone:browser-wasm;mode:implement;p0;spark-task;area:browser-runtime
BWASM-R-003,[BWASM-R-003] BWASM-R-003 — Define and emit the browser handler-bundle contract,docs/codex-spark-browser-wasm/tasks/03_runtime/BWASM-R-003-define-and-emit-the-browser-handler-bundle-contract.md,03_runtime,compiler,IMPLEMENT,P0,false,BWASM-R-001;BWASM-D-001,milestone:browser-wasm;mode:implement;p0;spark-task;area:compiler
BWASM-R-004,[BWASM-R-004] BWASM-R-004 — Execute handlers in isolated Workers with cancellation and hard recovery,docs/codex-spark-browser-wasm/tasks/03_runtime/BWASM-R-004-execute-handlers-in-isolated-workers-with-cancellation-and-hard-recovery.md,03_runtime,security,IMPLEMENT,P0,false,BWASM-R-003;BWASM-D-003,milestone:browser-wasm;mode:implement;p0;spark-task;area:security
